Model,MSO2014
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.04,
Sample Interval,3.2e-06,
Filter Frequency,4.2e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.30013e-01,-5.3,-5.5
-1.30010e-01,-5.3,-5.3
-1.30006e-01,-5.5,-5.5
-1.30003e-01,-5.3,-5.1
-1.30000e-01,-5.3,-5.5
-1.29997e-01,-5.5,-5.1
-1.29994e-01,-5.3,-5.5
-1.29990e-01,-5.3,-5.1
-1.29987e-01,-5.3,-5.5
-1.29984e-01,-5.3,-5.1
-1.29981e-01,-5.3,-5.5
-1.29978e-01,-5.5,-5.1
-1.29974e-01,-5.3,-5.5
-1.29971e-01,-5.3,-5.1
-1.29968e-01,-5.3,-5.5
-1.29965e-01,-5.3,-5.1
-1.29962e-01,-5.3,-5.5
-1.29958e-01,-5.3,-5.1
-1.29955e-01,-5.3,-5.5
-1.29952e-01,-5.3,-5.1
-1.29949e-01,-5.3,-5.5
-1.29946e-01,-5.3,-5.1
-1.29942e-01,-5.3,-5.5
-1.29939e-01,-5.3,-5.1
-1.29936e-01,-5.3,-5.5
-1.29933e-01,-5.3,-5.1
-1.29930e-01,-5.3,-5.5
-1.29926e-01,-5.3,-5.1
-1.29923e-01,-5.3,-5.5
-1.29920e-01,-5.3,-5.1
-1.29917e-01,-5.3,-5.5
-1.29914e-01,-5.3,-5.1
-1.29910e-01,-5.3,-5.5
-1.29907e-01,-5.3,-5.1
-1.29904e-01,-5.3,-5.5
-1.29901e-01,-5.3,-5.1
-1.29898e-01,-5.5,-5.5
-1.29894e-01,-5.5,-5.1
-1.29891e-01,-5.5,-5.7
-1.29888e-01,-5.5,-5.1
-1.29885e-01,-5.5,-5.7
-1.29882e-01,-5.5,-5.3
-1.29878e-01,-5.3,-5.7
-1.29875e-01,-5.3,-5.3
-1.29872e-01,-5.5,-5.7
-1.29869e-01,-5.5,-5.3
-1.29866e-01,-5.5,-5.7
-1.29862e-01,-5.5,-5.3
-1.29859e-01,-5.5,-5.7
-1.29856e-01,-5.3,-5.3
-1.29853e-01,-5.3,-5.7
-1.29850e-01,-5.3,-5.3
-1.29846e-01,-5.5,-5.5
-1.29843e-01,-5.5,-5.3
-1.29840e-01,-5.5,-5.7
-1.29837e-01,-5.3,-5.3
-1.29834e-01,-5.5,-5.7
-1.29830e-01,-5.5,-5.3
-1.29827e-01,-5.5,-5.7
-1.29824e-01,-5.5,-5.3
-1.29821e-01,-5.5,-5.7
-1.29818e-01,-5.3,-5.3
-1.29814e-01,-5.3,-5.5
-1.29811e-01,-5.3,-5.3
-1.29808e-01,-5.3,-5.5
-1.29805e-01,-5.5,-5.3
-1.29802e-01,-5.3,-5.5
-1.29798e-01,-5.3,-5.1
-1.29795e-01,-5.3,-5.5
-1.29792e-01,-5.5,-5.1
-1.29789e-01,-5.3,-5.5
-1.29786e-01,-5.3,-5.1
-1.29782e-01,-5.3,-5.5
-1.29779e-01,-5.3,-5.1
-1.29776e-01,-5.3,-5.5
-1.29773e-01,-5.3,-5.1
-1.29770e-01,-5.3,-5.5
-1.29766e-01,-5.3,-5.1
-1.29763e-01,-5.3,-5.5
-1.29760e-01,-5.3,-5.1
-1.29757e-01,-5.3,-5.5
-1.29754e-01,-5.3,-5.1
-1.29750e-01,-5.3,-5.5
-1.29747e-01,-5.3,-5.1
-1.29744e-01,-5.3,-5.5
-1.29741e-01,-5.3,-5.1
-1.29738e-01,-5.3,-5.5
-1.29734e-01,-5.3,-5.1
-1.29731e-01,-5.3,-5.5
-1.29728e-01,-5.3,-5.1
-1.29725e-01,-5.3,-5.5
-1.29722e-01,-5.3,-5.1
-1.29718e-01,-5.3,-5.5
-1.29715e-01,-5.3,-5.1
